,name,spotify_name,artist_id
0,2HOLLIS,2hollis,72NhFAGG5Pt91VbheJeEPG
1,4BATZ,4batz,5fi7lIgJGH3RgUpJYcffQ7
2,A. G. COOK,A. G. Cook,335TWGWGFan4vaacJzSiU8
3,ABOVE & BEYOND,Above & Beyond,10gzBoINW3cLJfZUka8Zoe
4,AHMED SPINS,Ahmed Spins,4jercY4pUhY6jB8eQjpVJV
5,ALOK,Alok,0NGAZxHanS9e0iNHpR8f2W
6,AMAARAE,Amaarae,21UPYSRWFKwtqvSAnFnSvS
7,AMELIE LENS,Amelie Lens,5Ho1vKl1Uz8bJlk4vbmvmf
8,AMYL AND THE SNIFFERS,Amyl and The Sniffers,3NqV2DJoAWsjl787bWaHW7
9,AMÉMÉ,AMÉMÉ,1txb9Qg5lJ3KATxPcIYyvO
10,ANITTA,Anitta,7FNnA9vBm6EKceENgCGRMb
11,ARCA,Arca,4SQdUpG4f7UbkJG3cJ2Iyj
12,ARTEMAS,Artemas,0PCCGZ0wGLizHt2KZ7hhA2
13,AUSTIN MILLZ,Austin Millz,43UmVQp9qZILibJ5vHq21k
14,BASEMENT JAXX,Basement Jaxx,4YrKBkKSVeqDamzBPWVnSJ
15,BEABADOOBEE,beabadoobee,35l9BRT7MXmM8bv2WDQiyB
16,BELTRAN,Beltran,1jgSqmZTBltb5O2L7ErmEP
17,BEN BÖHMER,Ben Böhmer,5tDjiBYUsTqzd0RkTZxK7u
18,BENSON BOONE,Benson Boone,22wbnEMDvgVIAGdFeek6ET
19,BETH GIBBONS,Beth Gibbons,6Lt6KFXX3P0v6vfrynQAMo
20,BIGXTHAPLUG,BigXthaPlug,6qxpnaukVayrQn6ViNvu9I
21,BLONDE REDHEAD,Blonde Redhead,5isqImG0rLfAgBJSPMEVXF
22,BOB VYLAN,Bob Vylan,6XgIk9Y6qy6JCMZVime6DQ
23,BORIS BREJCHA,Boris Brejcha,6caPJFLv1wesmM7gwK1ACy
24,CA7RIEL & PACO AMOROSO,CA7RIEL & Paco Amoroso,6I8TDGeUmmLom8auKPzMdX
25,CHARLI XCX,Charli xcx,25uiPmTg16RbhZWAqwLBy5
